pair,distance,normalization_ratio,alignment_points
value_ADSK vs value_BKNG,115.34781781049806,0.04584571455107236,2261
value_ADSK vs value_BKR,57.328480135340264,0.022785564441709167,2178
value_ADSK vs value_CDNS,138.8106912842839,0.05517118095559773,2288
value_ADSK vs value_CHTR,141.79346518502018,0.05635670317369641,1862
value_ADSK vs value_CMCSA,43.77358117150923,0.01739808472635502,2042
value_ADSK vs value_COST,132.48615749768436,0.05265745528524816,2308
value_ADSK vs value_CPRT,121.99859360631886,0.04848910715672451,2289
value_ADSK vs value_CRWD,157.77168681419792,0.06270734770039663,2142
value_ADSK vs value_CSCO,53.679682386408956,0.02133532686264267,2166
value_ADSK vs value_CSGP,52.20036781551621,0.020747363996628063,2075
value_ADSK vs value_CSX,92.72903943926357,0.036855739045812234,1987
value_ADSK vs value_CTAS,132.11837836037054,0.05251127915753996,2303
value_ADSK vs value_CTSH,39.9092667963234,0.015862188710780364,2085
value_ADSK vs value_DDOG,85.64906165058699,0.03404175741279292,2172
value_ADSK vs value_DLTR,103.21482978303332,0.04102338226670641,2166
value_ADSK vs value_DXCM,97.78765567368373,0.038866317835327395,2107
value_ADSK vs value_EA,60.68206571506356,0.024118468090247838,2141
value_ADSK vs value_EBAY,44.46040759221332,0.01767106820040275,2080
value_ADSK vs value_EXC,63.70223177021745,0.025318852054935396,2123
value_ADSK vs value_FANG,117.18762741857061,0.04657695843345414,2259
value_ADSK vs value_FAST,58.42623918505292,0.023221875669734864,2118
value_ADSK vs value_FTNT,112.11896034480725,0.044562384874724664,2131
value_ADSK vs value_GILD,61.841975205100034,0.024579481401073147,2240
value_ADSK vs value_GOOGL,69.67828568855914,0.0276940722132588,2098
value_ADSK vs value_GOOG,70.22697400578649,0.027912151830598763,2108
value_ADSK vs value_HON,111.17638563729346,0.04418775263803397,2002
value_ADSK vs value_IDXX,53.97068310355733,0.021450986925102278,2054
value_ADSK vs value_ILMN,235.25721694591022,0.0935044582455923,1618
value_ADSK vs value_INTC,140.91185690394653,0.05600630242605188,1968
value_ADSK vs value_INTU,37.69365028114096,0.014981578013172084,2057
value_ADSK vs value_ISRG,116.79819661058795,0.04642217671327025,2212
value_ADSK vs value_KDP,91.25476963061446,0.0362697812522315,2072
value_ADSK vs value_KHC,85.4679594919099,0.0339697772225397,2099
value_ADSK vs value_KLAC,164.27009143455544,0.06529017942549899,2319
value_ADSK vs value_LRCX,176.62610561793377,0.0702011548560945,2268
value_ADSK vs value_MAR,107.22715163608056,0.0426181047838158,2327
value_ADSK vs value_MCHP,55.233832901712866,0.021953033744718947,2162
value_ADSK vs value_MDLZ,127.38717040244953,0.050630830843580894,2021
value_ADSK vs value_MELI,68.546351339894,0.02724417779805008,2121
value_ADSK vs value_META,205.83427784883173,0.0818101263310142,2142
value_ADSK vs value_MNST,52.88884053749108,0.021021001803454325,2185
value_ADSK vs value_MRNA,379.53025698558145,0.15084668401652682,1714
value_ADSK vs value_MSFT,67.82724228292064,0.02695836338748833,2164
value_ADSK vs value_NFLX,128.2172351025844,0.05096074527129745,2225
